"BehaviorSpace results (NetLogo 6.2.0)"
"business_investor_class_18.nlogo"
"get-probabilities"
"10/27/2021 23:35:30:308 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-high-profit-high-risk","turtle-coloring-mode","p-low-profit-low-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","p-hplr","p-hphr","p-lplr","p-lphr","p-same"
"21","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.7647058823529411","0.625","0.08108108108108109","0","0.38"
"17","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.6470588235294118","0.35135135135135137","0.038834951456310676","0","0.776"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","14","0.9375","0.09210526315789473","0.020242914979757085","0","0.9228571428571428"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","15","0.8","0.09090909090909091","0.023255813953488372","0","0.912"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","10","0.8947368421052632","0.2463768115942029","0.06285714285714286","0","0.82"
"21","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.7777777777777778","0.5714285714285714","0.05555555555555555","0","0.56"
"20","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.8823529411764706","0.36666666666666664","0.02702702702702703","0","0.72"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","15","0.9375","0.08433734939759036","0.01893939393939394","0","0.928"
"16","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.7777777777777778","0.35714285714285715","0.03260869565217391","0","0.744"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.7058823529411765","0.3125","0.030612244897959183","0","0.8"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","16","0.8","0.08403361344537816","0.025","0","0.915"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.7692307692307693","0.3333333333333333","0.047619047619047616","0","0.8171428571428572"
"6","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.782608695652174","0.18309859154929578","0.05426356589147287","0","0.7828571428571428"
"21","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.7777777777777778","0.5161290322580645","0.05555555555555555","0","0.66"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.6666666666666666","0.22916666666666666","0.019230769230769232","0","0.816"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","11","0.8947368421052632","0.22077922077922077","0.06806282722513089","0","0.8290909090909091"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.6875","0.42857142857142855","0.04","0","0.7533333333333333"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","16","0.9375","0.07777777777777778","0.017793594306049824","0","0.9325"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.5882352941176471","0.4642857142857143","0.025423728813559324","0","0.8266666666666667"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.7391304347826086","0.47058823529411764","0.011764705882352941","0","0.728"
"19","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.8461538461538461","0.3333333333333333","0.034482758620689655","0","0.8"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","17","0.8","0.078125","0.02359882005899705","0","0.92"
"10","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.7368421052631579","0.34545454545454546","0.029850746268656716","0","0.7533333333333333"
"21","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.7777777777777778","0.45714285714285713","0.044444444444444446","0","0.728"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.8","0.2972972972972973","0.014705882352941176","0","0.8342857142857143"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","17","0.9375","0.07216494845360824","0.020134228187919462","0","0.9341176470588235"
