"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business_investor_class_18.nlogo"
"get-probabilities"
"10/21/2025 22:01:06:012 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-high-profit-high-risk","turtle-coloring-mode","p-low-profit-low-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","p-hplr","p-hphr","p-lplr","p-lphr","p-same"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.8","0.15873015873015872","0.023255813953488372","0","0.85"
"10","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.8095238095238095","0.13636363636363635","0.09090909090909091","0","0.7942857142857143"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","11","0.8","0.24242424242424243","0.05319148936170213","0","0.8472727272727273"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","10","0.7391304347826086","0.2","0.018404907975460124","0","0.88"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","10","0.9473684210526315","0.15217391304347827","0.011834319526627219","0","0.892"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","9","0.8888888888888888","0.22727272727272727","0.03763440860215054","0","0.8311111111111111"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","12","0.8","0.21333333333333335","0.04926108374384237","0","0.86"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","10","0.7368421052631579","0.21052631578947367","0.03867403314917127","0","0.868"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","11","0.9166666666666666","0.10588235294117647","0.05235602094240838","0","0.850909090909091"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","9","0.9411764705882353","0.1111111111111111","0.07482993197278912","0","0.8311111111111111"
"6","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.8823529411764706","0.20408163265306123","0.03225806451612903","0","0.855"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","11","0.8888888888888888","0.14814814814814814","0.06220095693779904","0","0.850909090909091"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","12","0.88","0.10526315789473684","0.04854368932038835","0","0.86"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","9","0.8","0.1388888888888889","0.020618556701030927","0","0.8666666666666667"
"10","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.8095238095238095","0.11392405063291139","0.0967741935483871","0","0.81"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.7222222222222222","0.42857142857142855","0.022222222222222223","0","0.84"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","13","0.8","0.19047619047619047","0.045871559633027525","0","0.8707692307692307"
