"BehaviorSpace results (NetLogo 5.3.1)"
"wood_hoopoe_strategies.nlogo"
"optimize"
"04/06/2017 00:11:07:861 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","0","0"
"[run number]","x2","x1","p-vacant","strategy","[step]","age-diff","foray-timing","group-dist-1","group-dist-2","group-dist-3","performance"
"317","0.01","0","0.32","""expected reproduction""","264","1","0","1","0","0","1.5"
"320","0.01","0","0.32","""expected reproduction""","264","1","0","1","0","0","1.5"
"323","0.01","0","0.33","""expected reproduction""","264","1","0","1","0","0","1.5"
"319","0.01","0","0.32","""expected reproduction""","264","1","0","1","0","0","1.5"
"324","0.01","0","0.33","""expected reproduction""","264","1","0","1","0","0","1.5"
"322","0.01","0","0.33","""expected reproduction""","264","1","0","1","0","0","1.5"
"321","0.01","0","0.33","""expected reproduction""","264","1","0","1","0","0","1.5"
"328","0.01","0","0.33","""expected reproduction""","264","1","0","1","0","0","1.5"
"326","0.01","0","0.33","""expected reproduction""","264","1","0","1","0","0","1.5"
"325","0.01","0","0.33","""expected reproduction""","264","1","0","1","0","0","1.5"
"327","0.01","0","0.33","""expected reproduction""","264","1","0","1","0","0","1.5"
"329","0.01","0","0.33","""expected reproduction""","264","1","0","1","0","0","1.5"
"330","0.01","0","0.33","""expected reproduction""","264","1","0","1","0","0","1.5"
"331","0.01","0","0.34","""expected reproduction""","264","1","0","1","0","0","1.5"
"332","0.01","0","0.34","""expected reproduction""","264","1","0","1","0","0","1.5"
"333","0.01","0","0.34","""expected reproduction""","264","1","0","1","0","0","1.5"
"334","0.01","0","0.34","""expected reproduction""","264","1","0","1","0","0","1.5"
"336","0.01","0","0.34","""expected reproduction""","264","1","0","1","0","0","1.5"
"337","0.01","0","0.34","""expected reproduction""","264","1","0","1","0","0","1.5"
"335","0.01","0","0.34","""expected reproduction""","264","1","0","1","0","0","1.5"
"338","0.01","0","0.34","""expected reproduction""","264","1","0","1","0","0","1.5"
"339","0.01","0","0.34","""expected reproduction""","264","1","0","1","0","0","1.5"
