"BehaviorSpace results (NetLogo 6.1.0)"
"wild_dogs.nlogo"
"vary_initialization_pe"
"10/29/2019 00:44:01:307 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","p-extinction","time-to-extinction"
"349","8","1","0.2","0.44","100","60","6","1","0.54","82.01"
"354","8","1","0.2","0.44","100","60","6","1","0.48","79.61"
"353","8","1","0.2","0.44","100","60","6","1","0.53","76.47"
"352","8","1","0.2","0.44","100","60","6","1","0.51","80.96"
"359","8","1","0.2","0.44","100","60","6","1","0.56","77.89"
"355","8","1","0.2","0.44","100","60","6","1","0.54","78.75"
"358","8","1","0.2","0.44","100","60","6","1","0.52","80.73"
"356","8","1","0.2","0.44","100","60","6","1","0.53","81.95"
"357","8","1","0.2","0.44","100","60","6","1","0.49","82.79"
"360","8","1","0.2","0.44","100","60","6","1","0.43","84.5"
"361","8","1","0.2","0.44","100","60","8","1","0.63","76.28"
"362","8","1","0.2","0.44","100","60","8","1","0.5","78.95"
"363","8","1","0.2","0.44","100","60","8","1","0.57","78.96"
"364","8","1","0.2","0.44","100","60","8","1","0.65","74.17"
"365","8","1","0.2","0.44","100","60","8","1","0.55","80.49"
"368","8","1","0.2","0.44","100","60","8","1","0.53","75.86"
"367","8","1","0.2","0.44","100","60","8","1","0.6","78.08"
"366","8","1","0.2","0.44","100","60","8","1","0.49","81.93"
"370","8","1","0.2","0.44","100","60","8","1","0.6","76.09"
"371","8","1","0.2","0.44","100","60","8","1","0.59","76.66"
"369","8","1","0.2","0.44","100","60","8","1","0.56","81.2"
"372","8","1","0.2","0.44","100","60","8","1","0.55","76.28"
"373","8","1","0.2","0.44","100","60","8","1","0.51","80.93"
"374","8","1","0.2","0.44","100","60","8","1","0.52","81.13"
"375","8","1","0.2","0.44","100","60","8","1","0.65","75.89"
"378","8","1","0.2","0.44","100","60","8","1","0.58","76.38"
"377","8","1","0.2","0.44","100","60","8","1","0.46","81.98"
"376","8","1","0.2","0.44","100","60","8","1","0.45","83.79"
"379","8","1","0.2","0.44","100","60","8","1","0.49","80.15"
"380","8","1","0.2","0.44","100","60","8","1","0.57","79.22"
"382","8","1","0.2","0.44","100","60","10","1","0.47","79.54"
"381","8","1","0.2","0.44","100","60","10","1","0.55","79.96"
"383","8","1","0.2","0.44","100","60","10","1","0.48","83.88"
"385","8","1","0.2","0.44","100","60","10","1","0.52","78.69"
"384","8","1","0.2","0.44","100","60","10","1","0.55","81.69"
"386","8","1","0.2","0.44","100","60","10","1","0.51","81.62"
"387","8","1","0.2","0.44","100","60","10","1","0.55","80.98"
"390","8","1","0.2","0.44","100","60","10","1","0.61","77.9"
"388","8","1","0.2","0.44","100","60","10","1","0.5","78.63"
"389","8","1","0.2","0.44","100","60","10","1","0.56","80.75"
"391","8","1","0.2","0.44","100","60","10","1","0.51","78.94"
"392","8","1","0.2","0.44","100","60","10","1","0.54","79.83"
"393","8","1","0.2","0.44","100","60","10","1","0.45","83.79"
"395","8","1","0.2","0.44","100","60","10","1","0.51","78.22"
"394","8","1","0.2","0.44","100","60","10","1","0.54","80.67"
"401","10","1","0.2","0.44","100","60","2","1","0.7","63.52"
"397","8","1","0.2","0.44","100","60","10","1","0.52","80.34"
"396","8","1","0.2","0.44","100","60","10","1","0.52","81.9"
"402","10","1","0.2","0.44","100","60","2","1","0.61","67.5"
"403","10","1","0.2","0.44","100","60","2","1","0.65","64.85"
"398","8","1","0.2","0.44","100","60","10","1","0.55","79.8"
"400","8","1","0.2","0.44","100","60","10","1","0.55","78.29"
"404","10","1","0.2","0.44","100","60","2","1","0.73","65.66"
"399","8","1","0.2","0.44","100","60","10","1","0.47","83.37"
"405","10","1","0.2","0.44","100","60","2","1","0.56","74.67"
"406","10","1","0.2","0.44","100","60","2","1","0.7","68"
