"BehaviorSpace results (NetLogo 6.1.0)"
"wild_dogs.nlogo"
"vary_meeting_disp_mortality_pe"
"10/29/2019 01:00:55:953 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","p-extinction","time-to-extinction"
"307","10","0.5","0.2","0.5","100","60","5","1","0.8","67.14"
"306","10","0.5","0.2","0.5","100","60","5","1","0.72","67.54"
"309","10","0.5","0.2","0.5","100","60","5","1","0.74","65.76"
"304","10","0.5","0.2","0.5","100","60","5","1","0.71","72.77"
"312","10","0.5","0.2","0.5","100","60","5","1","0.74","67.3"
"311","10","0.5","0.2","0.5","100","60","5","1","0.72","66.41"
"310","10","0.5","0.2","0.5","100","60","5","1","0.66","72.21"
"314","10","0.5","0.2","0.5","100","60","5","1","0.72","70.73"
"313","10","0.5","0.2","0.5","100","60","5","1","0.67","73.66"
"316","10","0.5","0.2","0.5","100","60","5","1","0.71","67.3"
"315","10","0.5","0.2","0.5","100","60","5","1","0.73","70.94"
"317","10","0.5","0.2","0.5","100","60","5","1","0.7","67.82"
"319","10","0.5","0.2","0.5","100","60","5","1","0.8","64.51"
"320","10","0.5","0.2","0.5","100","60","5","1","0.79","64.55"
"321","10","0.5","0.2","0.55","100","60","5","1","0.81","61.37"
"318","10","0.5","0.2","0.5","100","60","5","1","0.63","75.5"
"326","10","0.5","0.2","0.55","100","60","5","1","0.81","62.02"
"323","10","0.5","0.2","0.55","100","60","5","1","0.73","67.14"
"322","10","0.5","0.2","0.55","100","60","5","1","0.59","75.69"
"325","10","0.5","0.2","0.55","100","60","5","1","0.82","62.65"
"327","10","0.5","0.2","0.55","100","60","5","1","0.75","68.85"
"324","10","0.5","0.2","0.55","100","60","5","1","0.69","68.99"
"329","10","0.5","0.2","0.55","100","60","5","1","0.71","66.43"
"328","10","0.5","0.2","0.55","100","60","5","1","0.69","67.45"
"330","10","0.5","0.2","0.55","100","60","5","1","0.78","63.9"
"332","10","0.5","0.2","0.55","100","60","5","1","0.72","66.42"
"334","10","0.5","0.2","0.55","100","60","5","1","0.82","59.92"
"331","10","0.5","0.2","0.55","100","60","5","1","0.7","70.23"
"336","10","0.5","0.2","0.55","100","60","5","1","0.8","64.67"
"333","10","0.5","0.2","0.55","100","60","5","1","0.67","68.22"
"335","10","0.5","0.2","0.55","100","60","5","1","0.78","68.39"
"337","10","0.5","0.2","0.55","100","60","5","1","0.77","63.34"
"338","10","0.5","0.2","0.55","100","60","5","1","0.81","65.63"
"340","10","0.5","0.2","0.55","100","60","5","1","0.72","63.45"
"339","10","0.5","0.2","0.55","100","60","5","1","0.73","69.32"
"341","10","0.5","0.2","0.6","100","60","5","1","0.75","64.95"
"344","10","0.5","0.2","0.6","100","60","5","1","0.8","65.5"
"342","10","0.5","0.2","0.6","100","60","5","1","0.73","68.1"
"345","10","0.5","0.2","0.6","100","60","5","1","0.79","67.1"
"347","10","0.5","0.2","0.6","100","60","5","1","0.76","65.33"
"348","10","0.5","0.2","0.6","100","60","5","1","0.78","65.28"
"349","10","0.5","0.2","0.6","100","60","5","1","0.8","63.93"
"346","10","0.5","0.2","0.6","100","60","5","1","0.73","69.12"
"343","10","0.5","0.2","0.6","100","60","5","1","0.62","72.26"
"350","10","0.5","0.2","0.6","100","60","5","1","0.75","67.71"
"351","10","0.5","0.2","0.6","100","60","5","1","0.8","62.11"
"354","10","0.5","0.2","0.6","100","60","5","1","0.82","62.95"
"352","10","0.5","0.2","0.6","100","60","5","1","0.74","67.43"
"353","10","0.5","0.2","0.6","100","60","5","1","0.75","68.46"
"355","10","0.5","0.2","0.6","100","60","5","1","0.79","62.54"
"357","10","0.5","0.2","0.6","100","60","5","1","0.77","63.5"
"356","10","0.5","0.2","0.6","100","60","5","1","0.75","64.53"
"358","10","0.5","0.2","0.6","100","60","5","1","0.76","63.98"
"359","10","0.5","0.2","0.6","100","60","5","1","0.77","65.13"
"360","10","0.5","0.2","0.6","100","60","5","1","0.77","63.78"
"361","10","1","0.2","0.2","100","60","5","1","0.11","95.03"
"362","10","1","0.2","0.2","100","60","5","1","0.12","96.51"
"363","10","1","0.2","0.2","100","60","5","1","0.1","96.21"
"367","10","1","0.2","0.2","100","60","5","1","0.12","95.95"
"370","10","1","0.2","0.2","100","60","5","1","0.16","94.26"
"364","10","1","0.2","0.2","100","60","5","1","0.09","96.41"
"366","10","1","0.2","0.2","100","60","5","1","0.12","96.44"
"369","10","1","0.2","0.2","100","60","5","1","0.12","96.06"
"365","10","1","0.2","0.2","100","60","5","1","0.11","96.52"
"368","10","1","0.2","0.2","100","60","5","1","0.07","97.83"
"371","10","1","0.2","0.2","100","60","5","1","0.1","97.08"
"372","10","1","0.2","0.2","100","60","5","1","0.12","95.88"
"375","10","1","0.2","0.2","100","60","5","1","0.15","94.96"
"373","10","1","0.2","0.2","100","60","5","1","0.11","96.32"
"374","10","1","0.2","0.2","100","60","5","1","0.1","96.49"
"377","10","1","0.2","0.2","100","60","5","1","0.11","95.9"
"376","10","1","0.2","0.2","100","60","5","1","0.06","98.72"
"379","10","1","0.2","0.2","100","60","5","1","0.12","96.01"
"378","10","1","0.2","0.2","100","60","5","1","0.08","97.24"
"380","10","1","0.2","0.2","100","60","5","1","0.15","95.97"
"381","10","1","0.2","0.25","100","60","5","1","0.19","92.66"
"383","10","1","0.2","0.25","100","60","5","1","0.18","94.14"
"382","10","1","0.2","0.25","100","60","5","1","0.14","95.69"
"385","10","1","0.2","0.25","100","60","5","1","0.19","94.33"
"387","10","1","0.2","0.25","100","60","5","1","0.19","92.85"
"389","10","1","0.2","0.25","100","60","5","1","0.16","92.83"
"390","10","1","0.2","0.25","100","60","5","1","0.14","95.52"
"384","10","1","0.2","0.25","100","60","5","1","0.12","95.96"
"388","10","1","0.2","0.25","100","60","5","1","0.17","95.08"
"386","10","1","0.2","0.25","100","60","5","1","0.13","95.97"
"391","10","1","0.2","0.25","100","60","5","1","0.2","94.89"
"392","10","1","0.2","0.25","100","60","5","1","0.21","92.18"
"394","10","1","0.2","0.25","100","60","5","1","0.2","93.83"
"397","10","1","0.2","0.25","100","60","5","1","0.21","93.17"
