"BehaviorSpace results (NetLogo 6.2.0)"
"wild_dogs.nlogo"
"vary_meeting_disp_mortality"
"11/01/2021 22:21:42:264 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","ticks","extinct?"
"371","10","0","0.2","0.35","100","60","5","34","34","true"
"351","10","0","0.2","0.35","100","60","5","100","100","false"
"364","10","0","0.2","0.35","100","60","5","46","46","true"
"347","10","0","0.2","0.35","100","60","5","100","100","false"
"372","10","0","0.2","0.35","100","60","5","31","31","true"
"343","10","0","0.2","0.35","100","60","5","100","100","false"
"365","10","0","0.2","0.35","100","60","5","81","81","true"
"361","10","0","0.2","0.35","100","60","5","91","91","true"
"357","10","0","0.2","0.35","100","60","5","100","100","false"
"379","10","0","0.2","0.35","100","60","5","27","27","true"
"375","10","0","0.2","0.35","100","60","5","39","39","true"
"373","10","0","0.2","0.35","100","60","5","58","58","true"
"376","10","0","0.2","0.35","100","60","5","53","53","true"
"382","10","0","0.2","0.35","100","60","5","41","41","true"
"377","10","0","0.2","0.35","100","60","5","56","56","true"
"370","10","0","0.2","0.35","100","60","5","57","57","true"
"380","10","0","0.2","0.35","100","60","5","62","62","true"
"392","10","0","0.2","0.35","100","60","5","46","46","true"
"383","10","0","0.2","0.35","100","60","5","49","49","true"
"381","10","0","0.2","0.35","100","60","5","62","62","true"
"384","10","0","0.2","0.35","100","60","5","52","52","true"
"396","10","0","0.2","0.35","100","60","5","18","18","true"
"374","10","0","0.2","0.35","100","60","5","90","90","true"
"397","10","0","0.2","0.35","100","60","5","40","40","true"
"387","10","0","0.2","0.35","100","60","5","48","48","true"
"395","10","0","0.2","0.35","100","60","5","33","33","true"
"386","10","0","0.2","0.35","100","60","5","50","50","true"
"398","10","0","0.2","0.35","100","60","5","56","56","true"
"401","10","0","0.2","0.4","100","60","5","25","25","true"
"388","10","0","0.2","0.35","100","60","5","68","68","true"
"400","10","0","0.2","0.35","100","60","5","30","30","true"
"385","10","0","0.2","0.35","100","60","5","84","84","true"
"394","10","0","0.2","0.35","100","60","5","52","52","true"
"378","10","0","0.2","0.35","100","60","5","100","100","false"
"409","10","0","0.2","0.4","100","60","5","20","20","true"
"389","10","0","0.2","0.35","100","60","5","100","100","false"
"407","10","0","0.2","0.4","100","60","5","74","74","true"
