"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor.nlogo"
"vary profit"
"09/28/2025 22:18:16:098 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","number-of-links","profit-multiplier","risk-multiplier","vision-mode","objective","number-investors","max-ticks","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles","mean [profit] of patches with [any? turtles-here]","mean [annual-risk] of patches with [any? turtles-here]"
"14","0","0.5","1","neighbors","Optimize","25","50","8","41569.84115888305","24612.276805228685","6233.37357113201","0.04176645175748568"
"10","0","0.5","1","neighbors","Optimize","25","50","8","43726.5700115462","31041.369569817805","6482.394431553635","0.042380909677594454"
"8","0","0.5","1","neighbors","Optimize","25","50","23","95577.80867742367","78880.63256915592","5870.637355500869","0.030843468784024684"
"12","0","0.5","1","neighbors","Optimize","25","50","15","75628.19870396992","45592.30541398406","5906.566109314524","0.03463127820605065"
"15","0","0.5","1","neighbors","Optimize","25","50","16","82683.47850509082","41521.071800563295","6192.245600203343","0.03649269142113263"
"5","0","0.5","1","neighbors","Optimize","25","50","10","53531.56217557326","41275.944394004655","6895.465447897993","0.045057846767213444"
"4","0","0.5","1","neighbors","Optimize","25","50","5","26612.026749998277","20434.85253466984","6512.575722271332","0.0443375829784624"
"3","0","0.5","1","neighbors","Optimize","25","50","17","79160.05525304885","51774.91694865699","5804.356993605927","0.03490508532456125"
"1","0","0.5","1","neighbors","Optimize","25","50","5","33513.08248339896","14488.165099869213","7536.662632616982","0.037998784082256216"
"8","0","0.5","1","neighbors","Optimize","25","50","24","101588.80206749456","79477.48064331808","6010.993390070881","0.033499163537605375"
"9","0","0.5","1","neighbors","Optimize","25","50","15","71645.22088305262","32602.74066700129","4722.263815787677","0.025677108997842573"
"6","0","0.5","1","neighbors","Optimize","25","50","5","27215.90595890123","11110.399662189837","6252.7442679216665","0.03662696382418005"
"5","0","0.5","1","neighbors","Optimize","25","50","11","57306.092446547","45215.21273917502","6948.347372448442","0.04576786431215663"
"12","0","0.5","1","neighbors","Optimize","25","50","16","78030.39399555113","50345.01633531109","5906.566109314524","0.03463127820605064"
"7","0","0.5","1","neighbors","Optimize","25","50","8","40070.572897801045","22884.66603385045","6378.292770695225","0.044232898940271506"
"11","0","0.5","1","neighbors","Optimize","25","50","6","38090.16240557396","24726.3942534682","7610.801313988465","0.041937920937407024"
"15","0","0.5","1","neighbors","Optimize","25","50","17","82827.03718298097","43993.82351108464","6005.094647794928","0.03451719941528133"
