"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor.nlogo"
"vary risk"
"09/28/2025 22:18:05:532 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","number-of-links","profit-multiplier","risk-multiplier","vision-mode","objective","number-investors","max-ticks","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles","mean [profit] of patches with [any? turtles-here]","mean [annual-risk] of patches with [any? turtles-here]"
"9","0","1","1","neighbors","Optimize","25","50","11","123623.17923903231","69022.58834024817","13248.93816610151","0.034800648478064446"
"6","0","1","1","neighbors","Optimize","25","50","9","92090.6318596487","48655.16847795935","11423.420910658355","0.035527036520117024"
"10","0","1","1","neighbors","Optimize","25","50","8","82078.90767869921","45861.607033975284","13830.68809698727","0.05076395735576074"
"15","0","1","1","neighbors","Optimize","25","50","6","81499.45416304593","37073.422214402795","15091.564576862187","0.04079162587077792"
"13","0","1","1","neighbors","Optimize","25","50","6","60207.73774713322","46882.72486432604","12853.634637909283","0.04832052888424541"
"4","0","1","1","neighbors","Optimize","25","50","38","256215.93771403757","222929.95743020775","10701.594518857784","0.028091106941371572"
"8","0","1","1","neighbors","Optimize","25","50","6","75540.45788968708","44639.07119091904","14431.084953423031","0.03619251059673782"
"7","0","1","1","neighbors","Optimize","25","50","21","141502.65259554872","91510.60546139095","12613.93511185152","0.041719072806932794"
"12","0","1","1","neighbors","Optimize","25","50","14","123165.55645827498","82793.6728777577","12665.585242890247","0.039768484433366134"
"5","0","1","1","neighbors","Optimize","25","50","8","101839.54750311477","53541.05448189049","12941.137203524346","0.04298887602001065"
"9","0","1","1","neighbors","Optimize","25","50","12","127508.23151958596","74935.75731389108","13248.93816610151","0.03480064847806444"
"4","0","1","1","neighbors","Optimize","25","50","39","248618.03648141716","229696.1980356088","10782.484585875838","0.029235874712825845"
"2","0","1","1","neighbors","Optimize","25","50","6","56497.0609038981","26587.890416071332","11258.54358014981","0.04498455748112287"
"7","0","1","1","neighbors","Optimize","25","50","22","130318.5805052737","91901.62464005077","12007.42003830895","0.038950461550605706"
"6","0","1","1","neighbors","Optimize","25","50","10","87931.51373190811","58869.02900561537","11423.420910658355","0.035527036520117024"
"11","0","1","1","neighbors","Optimize","25","50","7","95946.44126899487","44569.14120044715","15097.545427429372","0.050426731702819326"
"12","0","1","1","neighbors","Optimize","25","50","15","134962.71421362727","84322.85782942428","11797.157755352258","0.036770812673024615"
"3","0","1","1","neighbors","Optimize","25","50","7","86881.48730876535","39748.79374915492","13398.674052964383","0.04032202045323718"
"4","0","1","1","neighbors","Optimize","25","50","40","238843.91885834042","230867.43903186155","10701.594518857783","0.028091106941371572"
"7","0","1","1","neighbors","Optimize","25","50","23","142310.5207805569","91311.88050900522","11991.940275283163","0.038801739472055397"
"9","0","1","1","neighbors","Optimize","25","50","13","138978.41164988116","80817.26152014268","13248.938166101505","0.034800648478064446"
"4","0","1","1","neighbors","Optimize","25","50","41","249545.51337719816","232593.5486354087","10701.594518857783","0.028091106941371572"
"10","0","1","1","neighbors","Optimize","25","50","9","87332.48241246285","56545.10694474902","14226.593273256947","0.05286193637658672"
"7","0","1","1","neighbors","Optimize","25","50","24","149606.5337156325","95228.9027138233","11693.976697022119","0.03761033468909674"
"6","0","1","1","neighbors","Optimize","25","50","11","98969.13504435022","61706.15774224376","11423.420910658355","0.035527036520117024"
"4","0","1","1","neighbors","Optimize","25","50","42","227437.90494401753","250198.01227168745","10701.59451885778","0.028091106941371572"
"1","0","1","1","neighbors","Optimize","25","50","7","83857.43556682389","54116.38776855261","14563.725521757291","0.046399024305035494"
"14","0","1","1","neighbors","Optimize","25","50","7","81691.19808075472","47828.13622041695","14249.13406793814","0.042918725933988544"
"12","0","1","1","neighbors","Optimize","25","50","16","145721.7696813396","88125.3365363318","12364.148185785976","0.03837115323467728"
"9","0","1","1","neighbors","Optimize","25","50","14","146423.9221797444","91128.43172889909","12978.25618424644","0.03308873719675478"
"4","0","1","1","neighbors","Optimize","25","50","43","222229.86681640465","254298.36405277855","10705.346218947943","0.02851345312221784"
"15","0","1","1","neighbors","Optimize","25","50","7","84366.40434553967","46629.66083062041","14800.541931432106","0.03858987168167585"
"7","0","1","1","neighbors","Optimize","25","50","25","160870.08243006852","95032.4004355129","11263.548714436001","0.03538964625507503"
"6","0","1","1","neighbors","Optimize","25","50","12","107600.96343601022","67481.47918877716","11423.420910658351","0.03552703652011702"
"4","0","1","1","neighbors","Optimize","25","50","44","233249.0068240395","256385.60326616265","11465.214926200455","0.03165956792471661"
"10","0","1","1","neighbors","Optimize","25","50","10","95913.70168919703","62101.06258640236","13446.378629786703","0.049026893849343854"
"13","0","1","1","neighbors","Optimize","25","50","7","72147.78489436732","52861.90402629827","12662.286490011029","0.04595862183879399"
"9","0","1","1","neighbors","Optimize","25","50","15","156090.70520524812","98894.53070371137","13121.212605528232","0.03507172046099006"
"12","0","1","1","neighbors","Optimize","25","50","17","145644.5735175758","90028.51339578397","11848.777287716242","0.03592588971654624"
"5","0","1","1","neighbors","Optimize","25","50","9","114738.08880152977","58176.96812034724","12898.541298414966","0.04230376167427727"
"4","0","1","1","neighbors","Optimize","25","50","45","241834.3584707099","260566.60473253898","11530.16212615875","0.032093530868260806"
"8","0","1","1","neighbors","Optimize","25","50","7","89811.11209890373","49645.30014122878","14270.654209216635","0.035232442625016416"
"6","0","1","1","neighbors","Optimize","25","50","13","108431.68713438975","79847.01676270229","11423.420910658351","0.035527036520117024"
"7","0","1","1","neighbors","Optimize","25","50","26","172133.63114450456","95223.11233574897","11263.548714436","0.03538964625507503"
"10","0","1","1","neighbors","Optimize","25","50","11","109296.5378418522","63958.35350246592","13382.836152655149","0.04785005322412114"
"9","0","1","1","neighbors","Optimize","25","50","16","163371.49156615653","107736.31090540103","13121.212605528233","0.03507172046099006"
"4","0","1","1","neighbors","Optimize","25","50","46","248723.94518857752","266427.8087793761","11611.052193176802","0.033238298639715086"
"2","0","1","1","neighbors","Optimize","25","50","7","67548.98140927721","28456.26946026451","11051.920505379105","0.04352416804578817"
"6","0","1","1","neighbors","Optimize","25","50","14","115617.49785711122","85726.4303118063","11124.836745645229","0.03504605182937885"
"5","0","1","1","neighbors","Optimize","25","50","10","122536.02157645415","68106.83281221038","12583.962283124043","0.040368706462857624"
"7","0","1","1","neighbors","Optimize","25","50","27","175940.0594144772","102778.79596181503","11053.748244485685","0.03399821062093257"
"4","0","1","1","neighbors","Optimize","25","50","47","259751.7275758524","268696.1473735999","11530.162126158748","0.032093530868260806"
"12","0","1","1","neighbors","Optimize","25","50","18","145523.16258935945","90249.6429016707","12863.693155210758","0.0384392334571446"
"10","0","1","1","neighbors","Optimize","25","50","12","120163.18231137896","69907.938731605","13531.899697122115","0.046808210371441276"
"3","0","1","1","neighbors","Optimize","25","50","8","100032.40426499963","43733.88304334967","13150.916956234265","0.038720785920113965"
"11","0","1","1","neighbors","Optimize","25","50","8","98596.35205319127","56147.151277496705","14848.068579331744","0.04752524996238701"
"9","0","1","1","neighbors","Optimize","25","50","17","173833.37712839377","115016.50440053146","13015.672621932083","0.032866842059623154"
"6","0","1","1","neighbors","Optimize","25","50","15","126934.24250553237","87931.42612439611","11316.744648421147","0.03745173280656743"
"7","0","1","1","neighbors","Optimize","25","50","28","186978.32789593708","104187.39157215263","11038.268481459898","0.03384948854238226"
