"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor.nlogo"
"Number-of-Links"
"09/28/2025 22:48:19:783 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","number-of-links","profit-multiplier","risk-multiplier","vision-mode","objective","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles"
"8","7","1","1","links","Optimize","28","277077.7378232505","201663.7607180446"
"4","3","1","1","links","Optimize","11","126590.33494310931","65036.370382459056"
"12","0","1","1","links","Optimize","25","159199.03739037062","127398.29343919727"
"5","4","1","1","links","Optimize","11","134174.99848616373","80691.70935955431"
"13","1","1","1","links","Optimize","33","299709.06068373175","244138.20859201014"
"3","2","1","1","links","Optimize","14","122057.8985145513","118792.26727893257"
"11","10","1","1","links","Optimize","47","338779.777693626","172193.0915185291"
"14","2","1","1","links","Optimize","24","184751.80739092416","125272.02969195439"
"9","8","1","1","links","Optimize","50","333865.4592290222","226527.61557105067"
"12","0","1","1","links","Optimize","26","168129.657956915","128870.72735495296"
"13","1","1","1","links","Optimize","34","309771.88053199335","250670.5798179861"
"8","7","1","1","links","Optimize","29","281380.0723442368","212618.57567830663"
"11","10","1","1","links","Optimize","48","349687.3175539235","169246.4768221399"
"1","0","1","1","links","Optimize","17","137006.71522434664","96441.52464557956"
"12","0","1","1","links","Optimize","27","176882.72431447398","130687.56616864387"
"14","2","1","1","links","Optimize","25","197228.11081116545","125794.08374896282"
"15","3","1","1","links","Optimize","13","134057.95273646835","78468.34465971071"
"13","1","1","1","links","Optimize","35","298720.0093827749","264335.1327466473"
"11","10","1","1","links","Optimize","49","346562.7731315169","181062.24343127155"
"12","0","1","1","links","Optimize","28","180612.49382808447","138534.00075796925"
"7","6","1","1","links","Optimize","10","146930.2556752583","80162.49156529189"
"14","2","1","1","links","Optimize","26","208217.90336501974","127374.41142228969"
"8","7","1","1","links","Optimize","30","294729.3348463636","213262.20605381415"
"13","1","1","1","links","Optimize","36","309142.5935396062","271598.8768999521"
"3","2","1","1","links","Optimize","15","137000.91136804465","120784.18809723826"
"12","0","1","1","links","Optimize","29","188271.01269868106","141178.59585900838"
"11","10","1","1","links","Optimize","50","346119.0407348874","191056.32986982857"
"2","1","1","1","links","Optimize","15","147804.6903393567","92163.92693515375"
"6","5","1","1","links","Optimize","11","132465.29318380763","76803.82180599813"
"14","2","1","1","links","Optimize","27","204506.6303880962","139062.0390898424"
