"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PD_simple.nlogo"
"experiment"
"10/07/2024 00:31:12:079 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","payoff-benefit","init-coop-freq","payoff-cost","[step]","(count turtles with [strategy = 1]) / (count turtles)"
"6","1","0.5","0.01","29","0.72840790842872"
"3","1","0.5","0.01","35","0.7575442247658689"
"12","1","0.5","0.01","36","0.7377731529656608"
"15","1","0.5","0.01","32","0.7138397502601457"
"11","1","0.5","0.01","29","0.7325702393340271"
"9","1","0.5","0.01","36","0.7554630593132154"
"1","1","0.5","0.01","35","0.7658688865764828"
"13","1","0.5","0.01","36","0.7346514047866806"
"2","1","0.5","0.01","35","0.7304890738813735"
"5","1","0.5","0.01","40","0.7481789802289281"
"4","1","0.5","0.01","39","0.7658688865764828"
"12","1","0.5","0.01","37","0.7377731529656608"
"10","1","0.5","0.01","39","0.7762747138397502"
"7","1","0.5","0.01","28","0.7336108220603538"
