"BehaviorSpace results (NetLogo 5.3.1)"
"wild_dogs.nlogo"
"sensitivity-analysis"
"04/12/2016 02:18:42:452 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","carrying-capacity","years-to-simulate","mortality-adult","mortality-disperser","mean-meeting-rate","[step]","count dogs","extinct?"
"465","40","100","0.15","0.25","1.6","89","0","true"
"463","40","100","0.15","0.25","1.6","100","13","false"
"467","40","100","0.15","0.25","1.6","47","0","true"
"464","40","100","0.15","0.25","1.6","100","1","false"
"462","40","100","0.15","0.25","1.6","100","25","false"
"469","40","100","0.15","0.25","1.6","100","26","false"
"470","40","100","0.15","0.25","1.6","100","32","false"
"468","40","100","0.15","0.25","1.6","100","29","false"
"471","40","100","0.15","0.25","1.6","100","18","false"
"473","40","100","0.15","0.25","1.6","100","12","false"
"466","40","100","0.15","0.25","1.6","100","22","false"
"472","40","100","0.15","0.25","1.6","100","33","false"
"476","40","100","0.15","0.25","1.6","65","0","true"
"474","40","100","0.15","0.25","1.6","100","32","false"
"475","40","100","0.15","0.25","1.6","85","0","true"
"482","40","100","0.15","0.25","1.8","33","0","true"
"479","40","100","0.15","0.25","1.6","65","0","true"
"478","40","100","0.15","0.25","1.6","100","26","false"
"481","40","100","0.15","0.25","1.8","89","0","true"
"477","40","100","0.15","0.25","1.6","100","38","false"
"486","40","100","0.15","0.25","1.8","91","0","true"
"487","40","100","0.15","0.25","1.8","85","0","true"
"485","40","100","0.15","0.25","1.8","100","16","false"
"483","40","100","0.15","0.25","1.8","100","23","false"
"484","40","100","0.15","0.25","1.8","100","16","false"
"490","40","100","0.15","0.25","1.8","48","0","true"
"489","40","100","0.15","0.25","1.8","56","0","true"
"480","40","100","0.15","0.25","1.6","100","24","false"
"493","40","100","0.15","0.25","1.8","45","0","true"
"496","40","100","0.15","0.25","1.8","33","0","true"
"491","40","100","0.15","0.25","1.8","74","0","true"
"499","40","100","0.15","0.25","1.8","33","0","true"
"488","40","100","0.15","0.25","1.8","100","32","false"
"495","40","100","0.15","0.25","1.8","100","4","false"
"497","40","100","0.15","0.25","1.8","78","0","true"
