"BehaviorSpace results (NetLogo 6.2.0)"
"BusinessInvestor.nlogo"
"vary-profit"
"10/07/2021 01:21:15:648 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"152","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","114545.19758200015","5956.234497364922","0.03295965404776022"
"143","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","105766.98050031015","6293.911157632966","0.03343807011263258"
"142","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","116404.04121839454","6491.765181524156","0.03335081512836583"
"154","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","108584.56199947587","6238.438877149168","0.03285981638247552"
"150","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","105411.18967736526","6144.462799409317","0.036226837128444676"
"126","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","105035.2886720629","6034.212194405327","0.03267787033374722"
"156","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","106377.26327632206","6452.049157213367","0.03277120118264418"
"155","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","103445.58708362324","6027.553078584201","0.03434421816994355"
"160","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","102078.86426791828","6193.129888755865","0.037052194757220894"
"158","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","115939.11236700746","5754.792129228129","0.03325981893317413"
"153","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","109315.04396332696","6150.153742097421","0.03316296509034434"
"165","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","116969.11631862122","6469.3702040601265","0.03241378548732228"
"163","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","110028.68676819479","6559.451108779557","0.031932459020610676"
"164","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","120272.02392320882","6402.974317199603","0.03248212528230667"
"162","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","117713.95738532672","6616.18357780068","0.034317512400542226"
"166","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","115220.16234488171","6790.63912236527","0.030890004195083233"
"161","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","115638.5893076847","6613.520456809272","0.031923315704029814"
"168","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","112782.89310179859","6460.658838080821","0.03452890825850302"
"171","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","118249.72939703405","6681.990330433462","0.035161007723239456"
"157","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","119290.31317293909","6657.697711310074","0.028506101364545445"
"169","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","115549.41635400314","6495.221886710785","0.03202000410990273"
"159","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","102301.25114967469","5919.097952103978","0.03502053793840588"
"170","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","106691.55677340206","6558.8194841693","0.03243514547917505"
"167","25","neighbors","10","0.01","1","exp utility","100","0.9","0.1","wealth","24","118338.36980373197","6339.799274954491","0.03305879909814732"
