"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"BusinessInvestor.nlogo"
"vary-vision"
"10/07/2025 22:04:18:816 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth","stdev-wealth"
"9","0.1","red","radius","0.01","exp utility","100","0","25","11","42020.01851872923","28891.22494075189"
"7","0.1","red","radius","0.01","exp utility","100","0","25","12","41841.15610148804","34119.36413776936"
"2","0.1","red","radius","0.01","exp utility","100","0","25","12","50741.407834411366","36507.453045441835"
"5","0.1","red","radius","0.01","exp utility","100","0","25","19","63330.934966225715","53110.45503276876"
"1","0.1","red","radius","0.01","exp utility","100","0","25","12","48943.76037509963","34870.020507837515"
"12","0.1","red","radius","0.01","exp utility","100","1","25","8","48025.090121049456","22086.629270721776"
"6","0.1","red","radius","0.01","exp utility","100","0","25","16","56174.01906018454","44092.94183543234"
"10","0.1","red","radius","0.01","exp utility","100","0","25","16","64112.547408993014","46951.30105344098"
"4","0.1","red","radius","0.01","exp utility","100","0","25","16","57728.55376200079","46684.14802712779"
"3","0.1","red","radius","0.01","exp utility","100","0","25","12","41857.67025171842","31755.579009973466"
"5","0.1","red","radius","0.01","exp utility","100","0","25","20","64015.97779502082","55042.066055752584"
"8","0.1","red","radius","0.01","exp utility","100","0","25","15","52749.08479136884","38154.515148184"
"9","0.1","red","radius","0.01","exp utility","100","0","25","12","44915.46002915156","31444.857748143713"
"7","0.1","red","radius","0.01","exp utility","100","0","25","13","43931.57570400672","36973.35655998894"
"2","0.1","red","radius","0.01","exp utility","100","0","25","13","55737.98986830084","38750.33538110851"
"13","0.1","red","radius","0.01","exp utility","100","1","25","11","63661.33423574615","29729.91420545025"
"1","0.1","red","radius","0.01","exp utility","100","0","25","13","53803.78958972228","37410.985617840146"
"10","0.1","red","radius","0.01","exp utility","100","0","25","17","66583.45120359615","50546.134865783846"
"6","0.1","red","radius","0.01","exp utility","100","0","25","17","57230.32411806278","46386.73571768922"
"5","0.1","red","radius","0.01","exp utility","100","0","25","21","66749.64360995666","57222.30056631993"
"4","0.1","red","radius","0.01","exp utility","100","0","25","17","57869.47859410508","49999.342946706056"
"3","0.1","red","radius","0.01","exp utility","100","0","25","13","46237.050007111255","34162.339722402896"
"12","0.1","red","radius","0.01","exp utility","100","1","25","9","54251.08822884882","24231.977336884836"
"8","0.1","red","radius","0.01","exp utility","100","0","25","16","54218.31762563677","40650.44199495509"
"9","0.1","red","radius","0.01","exp utility","100","0","25","13","45847.29558435964","34371.39455028381"
"5","0.1","red","radius","0.01","exp utility","100","0","25","22","69508.55869531634","59342.06747289147"
"1","0.1","red","radius","0.01","exp utility","100","0","25","14","53418.93201121039","39078.873670928304"
"14","0.1","red","radius","0.01","exp utility","100","1","25","7","41809.355985990325","20057.754261768616"
"10","0.1","red","radius","0.01","exp utility","100","0","25","18","67908.59553649466","52336.203093456104"
"7","0.1","red","radius","0.01","exp utility","100","0","25","14","43462.300408664196","38674.22860419513"
"2","0.1","red","radius","0.01","exp utility","100","0","25","14","56487.67609304668","42105.46732043756"
"6","0.1","red","radius","0.01","exp utility","100","0","25","18","58875.36640736879","47705.76086567202"
"5","0.1","red","radius","0.01","exp utility","100","0","25","23","72092.59008486042","62708.574984315695"
"4","0.1","red","radius","0.01","exp utility","100","0","25","18","62140.61887962096","51822.23894304632"
