"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"BusinessInvestor.nlogo"
"vary-vision-and-investors"
"10/07/2025 21:50:53:651 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth"
"264","0.1","red","radius","0.01","exp utility","10","8","25","24","178335.91845268218"
"266","0.1","red","radius","0.01","exp utility","10","8","25","24","186577.11754443878"
"265","0.1","red","radius","0.01","exp utility","10","8","25","24","176212.45729691783"
"270","0.1","red","radius","0.01","exp utility","10","8","25","24","190522.64918961993"
"267","0.1","red","radius","0.01","exp utility","10","8","25","24","192380.607778322"
"268","0.1","red","radius","0.01","exp utility","10","8","25","24","186864.438446674"
"269","0.1","red","radius","0.01","exp utility","10","8","25","24","195856.9814018482"
"272","0.1","red","radius","0.01","exp utility","10","9","25","24","186634.45110468403"
"271","0.1","red","radius","0.01","exp utility","10","9","25","24","186770.1893979982"
"273","0.1","red","radius","0.01","exp utility","10","9","25","24","199312.2172059292"
"274","0.1","red","radius","0.01","exp utility","10","9","25","24","146902.93558265205"
"275","0.1","red","radius","0.01","exp utility","10","9","25","24","220349.2269031864"
"277","0.1","red","radius","0.01","exp utility","10","9","25","24","180822.7893151795"
"278","0.1","red","radius","0.01","exp utility","10","9","25","24","163383.28025280384"
"276","0.1","red","radius","0.01","exp utility","10","9","25","24","188502.4399336282"
"280","0.1","red","radius","0.01","exp utility","10","9","25","24","182982.15775165922"
"279","0.1","red","radius","0.01","exp utility","10","9","25","24","213560.96211308177"
"282","0.1","red","radius","0.01","exp utility","10","9","25","24","153301.9121858257"
"281","0.1","red","radius","0.01","exp utility","10","9","25","24","179016.09575465773"
"284","0.1","red","radius","0.01","exp utility","10","9","25","24","177816.04614091915"
"283","0.1","red","radius","0.01","exp utility","10","9","25","24","198770.75666208484"
"285","0.1","red","radius","0.01","exp utility","10","9","25","24","194451.01242553437"
"286","0.1","red","radius","0.01","exp utility","10","9","25","24","200279.53816317228"
"287","0.1","red","radius","0.01","exp utility","10","9","25","24","177536.2052480679"
"288","0.1","red","radius","0.01","exp utility","10","9","25","24","181487.0796217147"
"290","0.1","red","radius","0.01","exp utility","10","9","25","24","204805.15843803945"
"289","0.1","red","radius","0.01","exp utility","10","9","25","24","189665.53369616158"
