"BehaviorSpace results (NetLogo 5.3)"
"Telemarketer_mergers.nlogo"
"experiment"
"02/25/2016 04:55:10:684 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-num-marketers","growth-param","[step]","count turtles"
"2","50","1000","153","1"
"3","50","1000","150","1"
"4","50","1000","161","1"
"1","50","1000","125","1"
"2","50","1000","154","1"
"3","50","1000","151","1"
"4","50","1000","162","1"
"1","50","1000","126","1"
"2","50","1000","155","1"
"3","50","1000","152","1"
"4","50","1000","163","1"
"2","50","1000","156","1"
"1","50","1000","127","1"
"3","50","1000","153","1"
"4","50","1000","164","1"
"2","50","1000","157","1"
"1","50","1000","128","1"
"3","50","1000","154","1"
"4","50","1000","165","1"
"2","50","1000","158","1"
"1","50","1000","129","1"
"3","50","1000","155","1"
"4","50","1000","166","1"
"2","50","1000","159","1"
"1","50","1000","130","1"
"4","50","1000","167","1"
"3","50","1000","156","1"
"2","50","1000","160","1"
"1","50","1000","131","1"
"4","50","1000","168","1"
"3","50","1000","157","1"
"2","50","1000","161","1"
"4","50","1000","169","1"
"1","50","1000","132","1"
"3","50","1000","158","1"
"2","50","1000","162","1"
"4","50","1000","170","1"
"3","50","1000","159","1"
"1","50","1000","133","1"
"2","50","1000","163","1"
"4","50","1000","171","1"
"1","50","1000","134","1"
"3","50","1000","160","1"
"2","50","1000","164","1"
"4","50","1000","172","1"
"3","50","1000","161","1"
"1","50","1000","135","1"
"2","50","1000","165","1"
"4","50","1000","173","1"
"3","50","1000","162","1"
"1","50","1000","136","1"
"2","50","1000","166","1"
"4","50","1000","174","1"
"3","50","1000","163","1"
"1","50","1000","137","1"
"2","50","1000","167","1"
"4","50","1000","175","1"
"3","50","1000","164","1"
"1","50","1000","138","1"
"4","50","1000","176","1"
"2","50","1000","168","1"
"3","50","1000","165","1"
"1","50","1000","139","1"
"4","50","1000","177","1"
"2","50","1000","169","1"
"3","50","1000","166","1"
"1","50","1000","140","1"
"4","50","1000","178","1"
"2","50","1000","170","1"
"3","50","1000","167","1"
"1","50","1000","141","1"
"4","50","1000","179","1"
"2","50","1000","171","1"
"1","50","1000","142","1"
"3","50","1000","168","1"
"4","50","1000","180","1"
"2","50","1000","172","1"
"3","50","1000","169","1"
"1","50","1000","143","1"
"4","50","1000","181","1"
"2","50","1000","173","1"
"3","50","1000","170","1"
"1","50","1000","144","1"
"4","50","1000","182","1"
"2","50","1000","174","1"
"3","50","1000","171","1"
"1","50","1000","145","1"
"4","50","1000","183","1"
"2","50","1000","175","1"
"4","50","1000","184","1"
"1","50","1000","146","1"
"3","50","1000","172","1"
"2","50","1000","176","1"
"4","50","1000","185","1"
"3","50","1000","173","1"
"1","50","1000","147","1"
"2","50","1000","177","1"
"4","50","1000","186","1"
"3","50","1000","174","1"
"1","50","1000","148","1"
"2","50","1000","178","1"
"4","50","1000","187","1"
"3","50","1000","175","1"
"1","50","1000","149","1"
"2","50","1000","179","1"
"4","50","1000","188","1"
"3","50","1000","176","1"
"1","50","1000","150","1"
"2","50","1000","180","1"
"4","50","1000","189","1"
"3","50","1000","177","1"
"1","50","1000","151","1"
"2","50","1000","181","1"
"4","50","1000","190","1"
"3","50","1000","178","1"
"1","50","1000","152","1"
"2","50","1000","182","1"
"4","50","1000","191","1"
"3","50","1000","179","1"
"1","50","1000","153","1"
"2","50","1000","183","1"
"4","50","1000","192","1"
"3","50","1000","180","1"
"2","50","1000","184","1"
"4","50","1000","193","1"
"3","50","1000","181","1"
"2","50","1000","185","1"
"3","50","1000","182","1"
"4","50","1000","194","1"
