"BehaviorSpace results (NetLogo 6.0.2)"
"BusinessInvestor.nlogo"
"vary-time-horizon"
"02/20/2018 04:06:18:929 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","profit-multiplier","risk-multiplier","vision-mode","sense-radius","failure-max","turtle-coloring-mode","failure-min","max-ticks","color-patches-by","num-investors","time-horizon","[step]","mean [wealth] of turtles","mean [failures] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"105","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","134339.51496953308","0.92","7069.520849834339","0.032882868027149646"
"117","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","116375.39893606924","1.04","7299.454949167502","0.03674932543482139"
"118","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","110823.54079206364","0.95","7493.220347030709","0.03563722849319773"
"82","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","130328.81496233834","0.81","7439.820297603222","0.03175351578954479"
"120","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","137045.41464249376","0.77","7325.209876238189","0.029943432255652883"
"119","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","120664.54470437887","0.88","6987.417590469176","0.029265326875697797"
"113","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","131839.66296761404","1.03","7692.88714349072","0.033586328825622645"
"111","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","127415.74317725786","0.91","7149.1814919522885","0.03385125950841564"
"126","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","120708.61931656275","1.02","7243.481221959164","0.03263595706581699"
"127","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","126466.41733332419","0.94","7442.622337926952","0.03465947493964252"
"124","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","124879.30226724542","0.98","7146.506386372312","0.032606614118494866"
"129","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","126453.5870539765","1.03","7105.127358101567","0.03333690603964694"
"130","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","7","24","125753.40434117783","0.84","7103.482039502434","0.03155511359544269"
