"","run","profit.multiplier","risk.multiplier","vision.mode","sense.radius","failure.max","turtle.coloring.mode","failure.min","max.ticks","color.patches.by","num.investors","time.horizon","tick","wealth","failures","profit","risk"
"112",112,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,122408.51778404,1.01,7242.25271100531,0.033331195466214
"113",113,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,131839.662967614,1.03,7692.88714349072,0.0335863288256226
"114",114,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,121116.475002668,0.89,7410.51684460622,0.0327768154309701
"115",115,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,125555.165110994,0.81,7239.32204271903,0.0293167818986519
"116",116,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,126555.52963716,1,7420.63042833305,0.0326896327851659
"117",117,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,116375.398936069,1.04,7299.4549491675,0.0367493254348214
"118",118,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,110823.540792064,0.95,7493.22034703071,0.0356372284931977
"119",119,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,120664.544704379,0.88,6987.41759046918,0.0292653268756978
"120",120,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,137045.414642494,0.77,7325.20987623819,0.0299434322556529
"121",121,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,131573.234387096,0.82,7251.15693460149,0.0306534460458152
"122",122,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,7,24,132788.062923459,0.78,7188.37055447101,0.0301255005765436
